,Level_1,Level_2,Level_3,Level_4,Level_5,MN2P2.1,MN2P2.2,MN2P2.3,MN2P2.4,N0P0.1,N0P0.2,N0P0.3,N0P0.4,N2P2.1,N2P2.2,N2P2.3,N2P2.4,RS.MN2P2.1,RS.MN2P2.2,RS.MN2P2.3,RS.MN2P2.4,RSN0P0.1,RSN0P0.2,RSN0P0.3,RSN0P0.4,RS.N2P2.1,RS.N2P2.2,RS.N2P2.3,RS.N2P2.4
kegg1,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00001 alcohol dehydrogenase [EC:1.1.1.1],K00001,2,2,0,0,1,3,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,0,1,1
kegg2,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00016 L-lactate dehydrogenase [EC:1.1.1.27],K00016,3,4,3,7,7,7,7,7,5,4,3,6,3,2,3,3,3,4,4,3,4,3,3,3
kegg3,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00114 alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8],K00114,8,6,8,9,8,11,7,7,7,7,7,4,8,9,9,8,5,8,11,11,6,6,8,6
kegg4,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00121 S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1],K00121,6,10,10,12,8,8,12,8,10,10,13,13,13,14,12,14,11,13,11,14,18,11,15,14
kegg5,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],K00128,14,14,12,12,11,12,13,11,16,15,13,14,23,21,26,22,27,22,15,13,27,17,23,25
kegg6,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00131 glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9],K00131,1,1,2,1,0,1,1,1,1,0,1,1,0,1,2,1,1,1,0,2,1,1,1,1
kegg7,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00134 glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12],K00134,23,16,15,22,18,18,22,14,21,16,23,18,16,19,12,14,16,18,16,17,14,15,19,21
kegg8,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00138 aldehyde dehydrogenase [EC:1.2.1.-],K00138,4,1,4,1,3,4,1,4,3,1,2,2,6,6,9,4,8,5,1,8,10,6,6,7
kegg9,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00150 glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59],K00150,5,5,7,3,5,4,3,6,3,5,6,4,2,4,3,3,2,5,4,5,4,6,3,4
kegg10,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00161 pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1],K00161,12,11,10,8,6,12,9,5,7,15,10,13,14,12,13,7,15,7,13,11,14,10,10,15
kegg11,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00162 pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1],K00162,10,10,8,9,10,10,12,4,9,11,11,14,13,13,16,10,16,12,10,15,18,11,13,20
kegg12,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00163 pyruvate dehydrogenase E1 component [EC:1.2.4.1],K00163,12,14,18,16,11,12,13,13,16,13,19,17,15,14,12,14,19,14,10,11,22,18,14,11
kegg13,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00169 pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],K00169,7,11,12,6,12,8,13,12,9,11,6,9,1,6,8,6,8,8,11,9,4,3,6,6
kegg14,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00170 pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],K00170,7,9,9,7,22,15,15,10,11,10,10,12,7,8,11,10,5,8,8,5,5,8,7,7
kegg15,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00171 pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],K00171,1,3,4,2,2,2,2,4,2,3,1,3,1,2,2,1,2,3,3,2,1,2,1,2
kegg16,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00172 pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1],K00172,3,4,8,5,6,9,7,7,6,6,6,5,2,4,4,2,2,3,6,3,2,4,4,5
kegg17,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00174 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11],K00174,17,15,15,19,11,19,12,16,17,17,18,21,9,17,17,16,13,11,12,10,19,14,14,15
kegg18,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00175 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11],K00175,9,12,12,9,11,7,10,13,7,8,10,11,8,9,12,4,10,11,8,7,9,9,9,7
kegg19,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00382 dihydrolipoamide dehydrogenase [EC:1.8.1.4],K00382,26,22,25,23,23,30,29,21,24,26,23,24,28,28,20,27,35,20,21,27,37,22,26,21
kegg20,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00627 pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12],K00627,21,24,18,21,15,21,24,19,24,21,26,20,23,28,35,23,25,27,18,22,31,28,18,26
kegg21,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00845 glucokinase [EC:2.7.1.2],K00845,17,21,14,21,17,15,23,16,17,18,24,14,22,13,18,9,23,14,20,20,16,20,18,19
kegg22,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00850 6-phosphofructokinase 1 [EC:2.7.1.11],K00850,8,7,8,9,8,10,10,4,8,6,10,8,3,6,7,7,4,4,3,6,7,4,6,5
kegg23,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00873 pyruvate kinase [EC:2.7.1.40],K00873,10,16,12,12,18,16,20,18,17,13,15,14,15,15,15,17,17,16,11,15,17,16,17,14
kegg24,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00886 polyphosphate glucokinase [EC:2.7.1.63],K00886,5,7,3,5,4,4,3,9,4,4,3,5,5,3,3,5,4,6,6,4,5,2,2,3
kegg25,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00895 diphosphate-dependent phosphofructokinase [EC:2.7.1.90],K00895,1,1,2,0,0,0,0,0,0,2,1,1,2,1,0,1,1,0,1,0,1,1,1,0
kegg26,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K00927 phosphoglycerate kinase [EC:2.7.2.3],K00927,12,14,13,10,11,11,15,9,17,13,17,11,16,11,16,14,12,15,15,13,15,15,14,12
kegg27,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,"K01006 pyruvate, orthophosphate dikinase [EC:2.7.9.1]",K01006,10,17,13,14,13,19,20,20,14,16,18,15,10,15,14,10,14,13,13,15,13,15,10,15
kegg28,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,"K01007 pyruvate, water dikinase [EC:2.7.9.2]",K01007,14,20,18,19,27,14,21,17,19,18,14,15,17,15,8,15,21,18,13,18,15,13,13,15
kegg29,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K01222 6-phospho-beta-glucosidase [EC:3.2.1.86],K01222,2,1,1,3,0,1,0,0,1,2,0,2,2,1,0,0,1,2,1,1,1,1,1,1
kegg30,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K01223 6-phospho-beta-glucosidase [EC:3.2.1.86],K01223,1,2,2,1,2,4,2,1,1,1,3,1,0,2,0,1,1,2,3,2,3,2,2,1
kegg31,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K01596 phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32],K01596,5,7,3,6,4,3,2,5,3,3,1,5,9,5,4,7,14,6,6,3,8,5,5,5
kegg32,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K01610 phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49],K01610,8,6,5,7,9,7,7,6,10,10,9,7,9,10,15,8,7,9,9,10,11,9,7,7
kegg33,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,"K01622 fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]",K01622,4,6,6,2,4,4,2,5,3,5,4,3,2,5,5,5,2,2,4,3,3,5,4,2
kegg34,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,"K01623 fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",K01623,3,7,4,6,3,3,3,6,5,6,5,6,6,6,6,4,4,4,4,3,4,3,3,6
kegg35,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,"K01624 fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",K01624,3,5,4,7,4,7,6,6,7,6,4,6,6,6,4,2,9,8,4,4,8,7,10,8
kegg36,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K01689 enolase [EC:4.2.1.11],K01689,17,19,12,14,16,13,17,12,17,17,15,17,15,16,16,12,17,16,17,14,20,17,11,19
kegg37,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K01785 aldose 1-epimerase [EC:5.1.3.3],K01785,10,12,8,4,8,7,11,7,7,9,5,11,10,14,11,13,13,13,3,11,8,6,12,12
kegg38,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K01792 glucose-6-phosphate 1-epimerase [EC:5.1.3.15],K01792,1,0,0,1,0,1,0,0,1,0,0,0,1,1,2,0,1,1,0,1,0,0,1,1
kegg39,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K01803 triosephosphate isomerase (TIM) [EC:5.3.1.1],K01803,9,13,12,12,7,6,4,7,13,13,11,10,13,9,15,13,11,9,9,16,13,12,12,11
kegg40,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K01810 glucose-6-phosphate isomerase [EC:5.3.1.9],K01810,10,11,11,10,12,14,15,14,15,10,11,12,12,14,15,13,19,13,10,9,13,13,12,11
kegg41,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,"K01834 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]",K01834,5,5,9,3,7,5,6,6,4,5,9,4,11,7,11,6,6,8,7,5,6,8,8,9
kegg42,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K01835 phosphoglucomutase [EC:5.4.2.2],K01835,9,10,6,7,8,8,6,8,9,10,14,11,7,8,6,8,6,7,5,9,10,14,9,8
kegg43,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K01895 acetyl-CoA synthetase [EC:6.2.1.1],K01895,29,30,40,39,29,28,23,24,27,34,38,31,38,31,30,29,34,24,26,31,29,35,29,31
kegg44,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,"K02446 fructose-1,6-bisphosphatase II [EC:3.1.3.11]",K02446,2,4,5,3,3,4,4,6,5,8,5,5,2,3,2,0,3,4,6,2,3,3,1,3
kegg45,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K02777 sugar PTS system EIIA component [EC:2.7.1.-],K02777,0,1,2,1,0,1,1,0,2,2,2,1,0,2,0,0,1,0,1,1,0,1,1,0
kegg46,Metabolism,Carbohydrate metabolism,ko00010 Glycolysis / Gluconeogenesis,K02779 glucose PTS system EIICB or EIICBA component [EC:2.7.1.199],K02779,2,2,1,3,1,3,4,4,0,2,3,1,1,2,0,2,1,2,1,2,2,2,2,2
